topic_category,channel_view_count,subscriber_count,channel_video_count,like_count,comment_count,day_of_week_published,viral
Music,142468175305,146000000,811,19653,0,Tuesday,1
Music,142468175305,146000000,811,15076,0,Saturday,1
Music,142468175305,146000000,811,47763,0,Tuesday,1
Music,142468175305,146000000,811,57936,0,Saturday,1
Music,142468175305,146000000,811,46041,0,Tuesday,1
Music,142468175305,146000000,811,82258,0,Saturday,1
Music,142468175305,146000000,811,84510,0,Tuesday,1
Music,142468175305,146000000,811,70038,0,Friday,1
Music,142468175305,146000000,811,56693,0,Tuesday,1
Music,142468175305,146000000,811,70499,0,Saturday,1
Music,142468175305,146000000,811,33185,0,Tuesday,1
Music,142468175305,146000000,811,75600,0,Saturday,1
Music,142468175305,146000000,811,44981,0,Tuesday,1
Music,142468175305,146000000,811,77693,0,Saturday,1
Music,142468175305,146000000,811,56364,0,Tuesday,1
Music,142468175305,146000000,811,88588,0,Saturday,1
Music,142468175305,146000000,811,63394,0,Tuesday,1
Music,142468175305,146000000,811,71791,0,Saturday,1
Music,142468175305,146000000,811,89279,0,Tuesday,1
Music,142468175305,146000000,811,84488,0,Saturday,1
Music,142468175305,146000000,811,230384,0,Tuesday,1
Music,142468175305,146000000,811,84273,0,Saturday,1
Music,142468175305,146000000,811,86029,0,Tuesday,1
Music,142468175305,146000000,811,69057,0,Saturday,1
Music,142468175305,146000000,811,99641,0,Tuesday,1
Music,142468175305,146000000,811,252225,0,Saturday,1
Music,142468175305,146000000,811,53609,0,Tuesday,1
Music,142468175305,146000000,811,132598,0,Saturday,1
Music,142468175305,146000000,811,58150,0,Thursday,1
Music,142468175305,146000000,811,85118,0,Tuesday,1
Music,142468175305,146000000,811,54733,0,Thursday,1
Music,142468175305,146000000,811,66853,0,Tuesday,1
Music,142468175305,146000000,811,41837,0,Friday,1
Music,142468175305,146000000,811,53646,0,Thursday,1
Music,142468175305,146000000,811,115916,0,Tuesday,1
Music,142468175305,146000000,811,85512,0,Saturday,1
Music,142468175305,146000000,811,105966,0,Tuesday,1
Music,142468175305,146000000,811,136272,0,Friday,1
Music,142468175305,146000000,811,59690,0,Tuesday,1
Music,142468175305,146000000,811,137439,0,Saturday,1
Music,142468175305,146000000,811,97422,0,Tuesday,1
Music,142468175305,146000000,811,173579,0,Saturday,1
Music,142468175305,146000000,811,150098,0,Tuesday,1
Music,142468175305,146000000,811,106042,0,Saturday,1
Music,142468175305,146000000,811,65505,0,Tuesday,1
Music,142468175305,146000000,811,114231,0,Saturday,1
Music,142468175305,146000000,811,111113,0,Tuesday,1
Music,142468175305,146000000,811,80479,0,Saturday,1
Music,142468175305,146000000,811,162472,0,Tuesday,1
Video_game_culture,28570510467,111000000,4514,67178,4601,Monday,0
Video_game_culture,28570510467,111000000,4514,107094,9108,Monday,1
Video_game_culture,28570510467,111000000,4514,103944,7784,Monday,1
Video_game_culture,28570510467,111000000,4514,133521,8697,Saturday,1
Video_game_culture,28570510467,111000000,4514,156889,9793,Friday,1
Video_game_culture,28570510467,111000000,4514,183176,9151,Tuesday,1
Video_game_culture,28570510467,111000000,4514,174644,8691,Friday,1
Video_game_culture,28570510467,111000000,4514,182644,8452,Friday,1
Video_game_culture,28570510467,111000000,4514,174865,8364,Wednesday,1
Video_game_culture,28570510467,111000000,4514,284235,16835,Monday,1
Video_game_culture,28570510467,111000000,4514,427147,23944,Wednesday,1
Video_game_culture,28570510467,111000000,4514,127261,7453,Sunday,1
Video_game_culture,28570510467,111000000,4514,193897,11113,Wednesday,1
Video_game_culture,28570510467,111000000,4514,135754,7568,Friday,1
Video_game_culture,28570510467,111000000,4514,143641,5509,Sunday,1
Video_game_culture,28570510467,111000000,4514,137118,9007,Tuesday,1
Video_game_culture,28570510467,111000000,4514,142222,6651,Saturday,1
Video_game_culture,28570510467,111000000,4514,214675,11610,Friday,1
Video_game_culture,28570510467,111000000,4514,169494,6672,Monday,1
Video_game_culture,28570510467,111000000,4514,266505,18061,Tuesday,1
Video_game_culture,28570510467,111000000,4514,274723,19472,Wednesday,1
Video_game_culture,28570510467,111000000,4514,182127,9130,Tuesday,1
Video_game_culture,28570510467,111000000,4514,216235,10933,Monday,1
Video_game_culture,28570510467,111000000,4514,234613,5933,Saturday,1
Video_game_culture,28570510467,111000000,4514,261137,12142,Sunday,1
Video_game_culture,28570510467,111000000,4514,324142,12123,Friday,1
Video_game_culture,28570510467,111000000,4514,201639,5584,Tuesday,1
Video_game_culture,28570510467,111000000,4514,256820,11237,Friday,1
Video_game_culture,28570510467,111000000,4514,219189,4539,Thursday,1
Video_game_culture,28570510467,111000000,4514,305433,16096,Wednesday,1
Video_game_culture,28570510467,111000000,4514,241138,8382,Sunday,1
Video_game_culture,28570510467,111000000,4514,396888,18121,Wednesday,1
Video_game_culture,28570510467,111000000,4514,310536,11548,Monday,1
Video_game_culture,28570510467,111000000,4514,426555,19387,Tuesday,1
Video_game_culture,28570510467,111000000,4514,296894,9550,Thursday,1
Video_game_culture,28570510467,111000000,4514,290753,9347,Monday,1
Video_game_culture,28570510467,111000000,4514,422154,23638,Saturday,1
Video_game_culture,28570510467,111000000,4514,308437,10800,Wednesday,1
Video_game_culture,28570510467,111000000,4514,561478,25585,Sunday,1
Video_game_culture,28570510467,111000000,4514,829591,44979,Monday,1
Video_game_culture,28570510467,111000000,4514,376658,15243,Saturday,1
Video_game_culture,28570510467,111000000,4514,214833,5866,Sunday,1
Video_game_culture,28570510467,111000000,4514,120220,3922,Thursday,1
Video_game_culture,28570510467,111000000,4514,254113,6406,Friday,1
Video_game_culture,28570510467,111000000,4514,200163,6556,Monday,1
Video_game_culture,28570510467,111000000,4514,191317,6440,Tuesday,1
Video_game_culture,28570510467,111000000,4514,182271,4096,Thursday,1
Video_game_culture,28570510467,111000000,4514,207037,6380,Tuesday,1
Video_game_culture,28570510467,111000000,4514,193386,6459,Thursday,1
Video_game_culture,28570510467,111000000,4514,214431,10189,Friday,1
Lifestyle,18120591612,109000000,731,214383,4146,Wednesday,1
Lifestyle,18120591612,109000000,731,2858057,96485,Saturday,1
Lifestyle,18120591612,109000000,731,5542601,31578,Friday,1
Lifestyle,18120591612,109000000,731,2919968,81482,Saturday,1
Lifestyle,18120591612,109000000,731,2148861,61806,Saturday,1
Lifestyle,18120591612,109000000,731,2604787,75186,Saturday,1
Lifestyle,18120591612,109000000,731,4071329,228813,Thursday,1
Lifestyle,18120591612,109000000,731,1448308,91906,Sunday,1
Lifestyle,18120591612,109000000,731,3260561,136787,Saturday,1
Lifestyle,18120591612,109000000,731,2606346,101837,Saturday,1
Lifestyle,18120591612,109000000,731,4733684,175719,Saturday,1
Lifestyle,18120591612,109000000,731,3802933,156081,Saturday,1
Lifestyle,18120591612,109000000,731,3108895,103135,Saturday,1
Lifestyle,18120591612,109000000,731,4232298,145001,Saturday,1
Lifestyle,18120591612,109000000,731,3270742,135424,Saturday,1
Lifestyle,18120591612,109000000,731,2843775,91985,Thursday,1
Lifestyle,18120591612,109000000,731,3249434,97413,Friday,1
Lifestyle,18120591612,109000000,731,14519872,611400,Wednesday,1
Lifestyle,18120591612,109000000,731,4700187,179243,Friday,1
Lifestyle,18120591612,109000000,731,3779990,130624,Saturday,1
Lifestyle,18120591612,109000000,731,3017222,123907,Sunday,1
Lifestyle,18120591612,109000000,731,3330950,101941,Saturday,1
Lifestyle,18120591612,109000000,731,4822225,111820,Tuesday,1
Lifestyle,18120591612,109000000,731,3179546,92712,Saturday,1
Lifestyle,18120591612,109000000,731,2562129,74573,Saturday,1
Lifestyle,18120591612,109000000,731,2455003,81780,Saturday,1
Lifestyle,18120591612,109000000,731,2785643,99006,Saturday,1
Lifestyle,18120591612,109000000,731,2874080,86171,Saturday,1
Lifestyle,18120591612,109000000,731,2562999,87341,Tuesday,1
Lifestyle,18120591612,109000000,731,3182270,126581,Saturday,1
Lifestyle,18120591612,109000000,731,2724358,119374,Saturday,1
Lifestyle,18120591612,109000000,731,4052549,139397,Saturday,1
Lifestyle,18120591612,109000000,731,3743469,170664,Saturday,1
Lifestyle,18120591612,109000000,731,6265143,240334,Saturday,1
Lifestyle,18120591612,109000000,731,2929281,119297,Saturday,1
Lifestyle,18120591612,109000000,731,3143659,117469,Saturday,1
Lifestyle,18120591612,109000000,731,2778615,152566,Saturday,1
Lifestyle,18120591612,109000000,731,4152095,168449,Friday,1
Lifestyle,18120591612,109000000,731,4102631,189261,Saturday,1
Lifestyle,18120591612,109000000,731,4862132,291426,Friday,1
Lifestyle,18120591612,109000000,731,2338056,109564,Wednesday,1
Lifestyle,18120591612,109000000,731,4058792,728578,Saturday,1
Lifestyle,18120591612,109000000,731,5047556,176901,Tuesday,1
Lifestyle,18120591612,109000000,731,2884451,95348,Saturday,1
Lifestyle,18120591612,109000000,731,3313071,89700,Saturday,1
Lifestyle,18120591612,109000000,731,3187973,190668,Thursday,1
Lifestyle,18120591612,109000000,731,2938425,84069,Saturday,1
Lifestyle,18120591612,109000000,731,2128519,118182,Sunday,1
Lifestyle,18120591612,109000000,731,3015139,118000,Saturday,1
Lifestyle,18120591612,109000000,731,4720470,211621,Sunday,1
Hobby,83311249514,102000000,1030,5363,0,Tuesday,1
Hobby,83311249514,102000000,1030,16843,0,Friday,1
Hobby,83311249514,102000000,1030,23531,0,Sunday,1
Hobby,83311249514,102000000,1030,9037,0,Thursday,1
Hobby,83311249514,102000000,1030,17646,0,Sunday,1
Hobby,83311249514,102000000,1030,30845,0,Thursday,1
Hobby,83311249514,102000000,1030,19747,0,Sunday,1
Hobby,83311249514,102000000,1030,17236,0,Sunday,1
Hobby,83311249514,102000000,1030,62189,0,Thursday,1
Hobby,83311249514,102000000,1030,30610,0,Sunday,1
Hobby,83311249514,102000000,1030,55061,0,Thursday,1
Hobby,83311249514,102000000,1030,17678,0,Sunday,1
Hobby,83311249514,102000000,1030,21880,0,Thursday,1
Hobby,83311249514,102000000,1030,26463,0,Sunday,1
Hobby,83311249514,102000000,1030,27046,0,Tuesday,1
Hobby,83311249514,102000000,1030,42976,0,Tuesday,1
Hobby,83311249514,102000000,1030,28785,0,Friday,1
Hobby,83311249514,102000000,1030,178758,0,Tuesday,1
Hobby,83311249514,102000000,1030,58168,0,Sunday,1
Hobby,83311249514,102000000,1030,66433,0,Thursday,1
Hobby,83311249514,102000000,1030,50130,0,Sunday,1
Hobby,83311249514,102000000,1030,69476,0,Monday,1
Hobby,83311249514,102000000,1030,198742,0,Thursday,1
Hobby,83311249514,102000000,1030,42217,0,Sunday,1
Hobby,83311249514,102000000,1030,146985,0,Thursday,1
Hobby,83311249514,102000000,1030,103687,0,Tuesday,1
Hobby,83311249514,102000000,1030,45485,0,Thursday,1
Hobby,83311249514,102000000,1030,353515,0,Sunday,1
Hobby,83311249514,102000000,1030,95395,0,Thursday,1
Hobby,83311249514,102000000,1030,777706,0,Sunday,1
Hobby,83311249514,102000000,1030,85080,0,Thursday,1
