channel_id,video_id,sentiment
UC-lHJZR3Gqxm24_Vd_AJ5Yw,LzCA5zHayyk,0.95
UC-lHJZR3Gqxm24_Vd_AJ5Yw,UhjjjqmGAkI,0.9973
UC-lHJZR3Gqxm24_Vd_AJ5Yw,cLFJjMokld8,0.9949
UC-lHJZR3Gqxm24_Vd_AJ5Yw,vwfQq9IA8TA,0.9908
UC-lHJZR3Gqxm24_Vd_AJ5Yw,P8XP4oamvzk,-0.8961
UC-lHJZR3Gqxm24_Vd_AJ5Yw,sIw9GwePGKg,0.9953
UC-lHJZR3Gqxm24_Vd_AJ5Yw,KASLwYxrILs,0.4726
UC-lHJZR3Gqxm24_Vd_AJ5Yw,DYdrFALAlZQ,0.565
UC-lHJZR3Gqxm24_Vd_AJ5Yw,JDsuYy1qsiA,0.8661
UC-lHJZR3Gqxm24_Vd_AJ5Yw,BQ35bZAPUnk,0.9955
UC-lHJZR3Gqxm24_Vd_AJ5Yw,fJ2_06vAZkw,0.9976
UC-lHJZR3Gqxm24_Vd_AJ5Yw,qQiwgEQNfQs,0.9942
UC-lHJZR3Gqxm24_Vd_AJ5Yw,p1HbuJ9HYOY,0.9839
UC-lHJZR3Gqxm24_Vd_AJ5Yw,T_XxiQdCH_s,-0.7261
UC-lHJZR3Gqxm24_Vd_AJ5Yw,MgZjlKiQxCw,0.9979
UC-lHJZR3Gqxm24_Vd_AJ5Yw,j0XyUEQYIdc,0.9978
UC-lHJZR3Gqxm24_Vd_AJ5Yw,aIciGms2y6A,0.991
UC-lHJZR3Gqxm24_Vd_AJ5Yw,peSOesOoxS4,-0.6281
UC-lHJZR3Gqxm24_Vd_AJ5Yw,n2nTd1VbsLM,0.9696
UC-lHJZR3Gqxm24_Vd_AJ5Yw,yxbO9K7lKbQ,0.9993
UC-lHJZR3Gqxm24_Vd_AJ5Yw,uakp2SrXOwQ,0.9264
UC-lHJZR3Gqxm24_Vd_AJ5Yw,ktxBUqy6PT4,0.988
UC-lHJZR3Gqxm24_Vd_AJ5Yw,P1IgBdnBeQM,0.8901
UC-lHJZR3Gqxm24_Vd_AJ5Yw,RF9SULnbMNc,0.9924
UC-lHJZR3Gqxm24_Vd_AJ5Yw,vDZHCYCd5Bo,0.9765
UC-lHJZR3Gqxm24_Vd_AJ5Yw,givTOOOPEs4,-0.7871
UC-lHJZR3Gqxm24_Vd_AJ5Yw,njHcxwwqxL8,0.9952
UC-lHJZR3Gqxm24_Vd_AJ5Yw,cmOZNxxGrJU,0.9963
UC-lHJZR3Gqxm24_Vd_AJ5Yw,XQ93AQ2uCBM,0.9881
UC-lHJZR3Gqxm24_Vd_AJ5Yw,HNChn7eK1tM,0.9308
UC-lHJZR3Gqxm24_Vd_AJ5Yw,HcrGMcJJWfc,0.9975
UC-lHJZR3Gqxm24_Vd_AJ5Yw,D0-IrQY4ix8,0.9983
UC-lHJZR3Gqxm24_Vd_AJ5Yw,aXVr_zZqGKg,0.992
UC-lHJZR3Gqxm24_Vd_AJ5Yw,adspgeE7ndU,-0.9609
UC-lHJZR3Gqxm24_Vd_AJ5Yw,yNsIh0ciYiI,-0.9757
UC-lHJZR3Gqxm24_Vd_AJ5Yw,mdNEZlLkPA4,0.9966
UC-lHJZR3Gqxm24_Vd_AJ5Yw,R55ACTWHvBY,0.9584
UC-lHJZR3Gqxm24_Vd_AJ5Yw,ZBgJJPZjg2k,0.9943
UC-lHJZR3Gqxm24_Vd_AJ5Yw,N2N5ZwX6U20,0.9979
UC-lHJZR3Gqxm24_Vd_AJ5Yw,F-yEoHL7MYY,0.9953
UC-lHJZR3Gqxm24_Vd_AJ5Yw,Ahzrv1TQGHY,0.98
UC-lHJZR3Gqxm24_Vd_AJ5Yw,Td4Pd_9oyn8,-0.8297
UC-lHJZR3Gqxm24_Vd_AJ5Yw,YM3uJ6RtBZM,0.9381
UC-lHJZR3Gqxm24_Vd_AJ5Yw,pqh4LfPeCYs,-0.9583
UC-lHJZR3Gqxm24_Vd_AJ5Yw,fUWn6BYrYK8,0.9708
UC-lHJZR3Gqxm24_Vd_AJ5Yw,RF78s4nphEY,0.9509
UC-lHJZR3Gqxm24_Vd_AJ5Yw,-fWXLAkHmxA,0.8489
UC-lHJZR3Gqxm24_Vd_AJ5Yw,JIz0-6_mPIE,0.6357
UC-lHJZR3Gqxm24_Vd_AJ5Yw,73XDeGdl94w,0.9964
UCX6OQ3DkcsbYNE6H8uQQuVA,YlvcFJOE-OE,0.8197
UCX6OQ3DkcsbYNE6H8uQQuVA,iogcY_4xGjo,-0.3711
UCX6OQ3DkcsbYNE6H8uQQuVA,S_CUEOBZ0P4,-0.8257
UCX6OQ3DkcsbYNE6H8uQQuVA,gHzuabZUd6c,-0.0145
UCX6OQ3DkcsbYNE6H8uQQuVA,65fN_OUawjk,-0.5122
UCX6OQ3DkcsbYNE6H8uQQuVA,jdMNoQE3mIQ,0.8388
UCX6OQ3DkcsbYNE6H8uQQuVA,2isYuQZMbdU,0.9958
UCX6OQ3DkcsbYNE6H8uQQuVA,dZklZVaU4AI,0.8826
UCX6OQ3DkcsbYNE6H8uQQuVA,tVWWp1PqDus,0.9236
UCX6OQ3DkcsbYNE6H8uQQuVA,vaIgyRoUkQI,0.7694
UCX6OQ3DkcsbYNE6H8uQQuVA,Hwybp38GnZw,0.9682
UCX6OQ3DkcsbYNE6H8uQQuVA,hD1YtmKXNb4,0.8455
UCX6OQ3DkcsbYNE6H8uQQuVA,LnlKwzc_TNA,0.9597
UCX6OQ3DkcsbYNE6H8uQQuVA,3jS_yEK8qVI,0.3956
UCX6OQ3DkcsbYNE6H8uQQuVA,00NgUctWoLQ,0.9619
UCX6OQ3DkcsbYNE6H8uQQuVA,x9TQ6culXIA,0.9702
UCX6OQ3DkcsbYNE6H8uQQuVA,QbJJwaVdgIs,-0.2083
UCX6OQ3DkcsbYNE6H8uQQuVA,0e3GPea1Tyg,0.9569
UCX6OQ3DkcsbYNE6H8uQQuVA,cV2gBU6hKfY,0.9451
UCX6OQ3DkcsbYNE6H8uQQuVA,qIsgdOVGA04,0.9349
UCX6OQ3DkcsbYNE6H8uQQuVA,cExLQ1o2pDw,-0.296
UCX6OQ3DkcsbYNE6H8uQQuVA,uocETPj4Jx4,0.919
UCX6OQ3DkcsbYNE6H8uQQuVA,zxYjTTXc-J8,-0.4577
UCX6OQ3DkcsbYNE6H8uQQuVA,hxwpkM5w3Cc,0.8968
UCX6OQ3DkcsbYNE6H8uQQuVA,ktyJIj6i4Qw,0.9358
UCX6OQ3DkcsbYNE6H8uQQuVA,urtFrxDUV6c,0.9048
UCX6OQ3DkcsbYNE6H8uQQuVA,nM89Wl03Q4g,0.8329
UCX6OQ3DkcsbYNE6H8uQQuVA,NZlClr_ivb4,0.8715
UCX6OQ3DkcsbYNE6H8uQQuVA,E6E22XQPhhg,0.9782
UCX6OQ3DkcsbYNE6H8uQQuVA,TQHEJj68Jew,0.717
UCX6OQ3DkcsbYNE6H8uQQuVA,WcwGleN38zE,0.7714
UCX6OQ3DkcsbYNE6H8uQQuVA,fMfipiV_17o,0.8541
UCX6OQ3DkcsbYNE6H8uQQuVA,ayXxwJJId_c,0.9036
UCX6OQ3DkcsbYNE6H8uQQuVA,9bqk6ZUsKyA,0.8024
UCX6OQ3DkcsbYNE6H8uQQuVA,DuQbOQwVaNE,0.954
UCX6OQ3DkcsbYNE6H8uQQuVA,vJH28ICkCdU,-0.7339
UCX6OQ3DkcsbYNE6H8uQQuVA,_uwNDiU04zE,0.9688
UCX6OQ3DkcsbYNE6H8uQQuVA,C680oxL__ck,0.9387
UCX6OQ3DkcsbYNE6H8uQQuVA,5Fg9oZk-5uA,0.7574
UCX6OQ3DkcsbYNE6H8uQQuVA,PKtnafFtfEo,0.0
UCX6OQ3DkcsbYNE6H8uQQuVA,f0c7pSCoZqE,0.8644
UCX6OQ3DkcsbYNE6H8uQQuVA,dg2Ag3e8W-Q,0.9664
UCX6OQ3DkcsbYNE6H8uQQuVA,LeYsRMZFUq0,0.7685
UCX6OQ3DkcsbYNE6H8uQQuVA,Dc2ZRmuH5OM,-0.2603
UCX6OQ3DkcsbYNE6H8uQQuVA,GLoeAJUcz38,0.8967
UCX6OQ3DkcsbYNE6H8uQQuVA,SZQhgExjBvQ,0.3182
UCX6OQ3DkcsbYNE6H8uQQuVA,IoZri9hq7z4,0.6177
UCX6OQ3DkcsbYNE6H8uQQuVA,1V_03efSkg0,0.9565
UCX6OQ3DkcsbYNE6H8uQQuVA,vp5sSqyZ5Go,0.9212
UCX6OQ3DkcsbYNE6H8uQQuVA,AKJfakEsgy0,-0.7783
UCJ5v_MCY6GNUBTO8-D3XoAg,lOrLTlYeTMA,0.9134
UCJ5v_MCY6GNUBTO8-D3XoAg,3TBq089vqA4,0.9847
UCJ5v_MCY6GNUBTO8-D3XoAg,LSS7mP7U47U,0.9422
UCJ5v_MCY6GNUBTO8-D3XoAg,6mmu84lrwPs,0.8598
UCJ5v_MCY6GNUBTO8-D3XoAg,okSC7EG-4vs,0.9591
UCJ5v_MCY6GNUBTO8-D3XoAg,rogogp0N86E,0.9899
UCJ5v_MCY6GNUBTO8-D3XoAg,jSP6adoT7xo,0.9201
UCJ5v_MCY6GNUBTO8-D3XoAg,fzPpCV2cCjE,0.9714
UCJ5v_MCY6GNUBTO8-D3XoAg,Qhjky-Z7ztE,0.9747
UCJ5v_MCY6GNUBTO8-D3XoAg,_z_dYd9py5A,-0.3818
UCJ5v_MCY6GNUBTO8-D3XoAg,LZppZ4GIMfc,0.9854
UCJ5v_MCY6GNUBTO8-D3XoAg,khiiBqGzq_w,-0.8089
UCJ5v_MCY6GNUBTO8-D3XoAg,cCcaejNjReQ,0.9976
UCJ5v_MCY6GNUBTO8-D3XoAg,mJrEmu-4SVM,0.9837
UCJ5v_MCY6GNUBTO8-D3XoAg,mR5GBwz5k8c,0.9881
UCJ5v_MCY6GNUBTO8-D3XoAg,5ot6ResA8PA,0.9979
UCJ5v_MCY6GNUBTO8-D3XoAg,kivUHHQoeTU,0.7845
UCJ5v_MCY6GNUBTO8-D3XoAg,vm3zrh65mNY,-0.8656
UCJ5v_MCY6GNUBTO8-D3XoAg,dyFNtLbrE6A,0.984
UCJ5v_MCY6GNUBTO8-D3XoAg,2ASGLbMzTbE,0.9535
UCJ5v_MCY6GNUBTO8-D3XoAg,QsAMmXUO6IA,0.9961
UCJ5v_MCY6GNUBTO8-D3XoAg,qL1wphE9ooA,-0.564
UCJ5v_MCY6GNUBTO8-D3XoAg,sFMHIrzBLT8,0.964
UCJ5v_MCY6GNUBTO8-D3XoAg,EgztEvxNf9w,0.9381
UCJ5v_MCY6GNUBTO8-D3XoAg,leza9WZ5djc,0.9117
UCJ5v_MCY6GNUBTO8-D3XoAg,6cP3f3x0L28,0.9617
UCJ5v_MCY6GNUBTO8-D3XoAg,htlvywH0APQ,0.9225
UCJ5v_MCY6GNUBTO8-D3XoAg,FzsfG_ioXjw,0.9264
UCJ5v_MCY6GNUBTO8-D3XoAg,pCmfrRsg5Io,0.9407
UCJ5v_MCY6GNUBTO8-D3XoAg,LaKnbVCg7WM,0.7115
UCJ5v_MCY6GNUBTO8-D3XoAg,R5t2vT6PfWs,0.9906
UCJ5v_MCY6GNUBTO8-D3XoAg,3NPk66Ytzgc,0.9857
UCJ5v_MCY6GNUBTO8-D3XoAg,LrStA3Ok9c4,0.96
UCJ5v_MCY6GNUBTO8-D3XoAg,F3nHPkrpMDc,0.9944
UCJ5v_MCY6GNUBTO8-D3XoAg,rPIkaX-9nug,0.9357
UCJ5v_MCY6GNUBTO8-D3XoAg,k-jbe-6R3PM,0.9984
UCJ5v_MCY6GNUBTO8-D3XoAg,y3xVmo9-lnQ,0.9938
UCJ5v_MCY6GNUBTO8-D3XoAg,baxdNrxqs4Q,0.9946
UCJ5v_MCY6GNUBTO8-D3XoAg,U1vSsb1mSHg,0.9658
UCJ5v_MCY6GNUBTO8-D3XoAg,X0S8bFOBscc,0.9802
UCJ5v_MCY6GNUBTO8-D3XoAg,O56xd4NcUQw,0.8222
UCJ5v_MCY6GNUBTO8-D3XoAg,4WCgE5Rfyxw,0.9011
UCJ5v_MCY6GNUBTO8-D3XoAg,DcJHovjTzbA,0.9875
UCJ5v_MCY6GNUBTO8-D3XoAg,KxdZNzgjj1o,0.9899
UCJ5v_MCY6GNUBTO8-D3XoAg,kxAQ2V7XYKo,0.9954
UCJ5v_MCY6GNUBTO8-D3XoAg,mHD7xCXV02c,0.9627
UCJ5v_MCY6GNUBTO8-D3XoAg,1nO-WNIUJ44,0.9866
UCJ5v_MCY6GNUBTO8-D3XoAg,jMYZapLz-Yw,0.8588
UCJ5v_MCY6GNUBTO8-D3XoAg,Cb_bj7uNS34,0.8944
UCJ5v_MCY6GNUBTO8-D3XoAg,h13w1UaTSO0,0.8718
UC295-Dw_tDNtZXFeAPAW6Aw,2QxNl_V7gV4,0.8622
UC295-Dw_tDNtZXFeAPAW6Aw,_BJzxA6uiM0,0.9757
UC295-Dw_tDNtZXFeAPAW6Aw,QvaYFBCkS7k,0.9793
UC295-Dw_tDNtZXFeAPAW6Aw,c-jtKNTwwMU,0.9789
UC295-Dw_tDNtZXFeAPAW6Aw,0RUFqAESIno,0.9923
UC295-Dw_tDNtZXFeAPAW6Aw,ifxI-1z68j0,0.7144
UC295-Dw_tDNtZXFeAPAW6Aw,hm8wsA1Yu1I,0.9956
UC295-Dw_tDNtZXFeAPAW6Aw,n1eGjEDnO3k,0.9321
UC295-Dw_tDNtZXFeAPAW6Aw,TIxbxfIkhrE,0.5169
UC295-Dw_tDNtZXFeAPAW6Aw,GEFlGCSOxKg,0.6158
UC295-Dw_tDNtZXFeAPAW6Aw,Tihr6FjbYAk,0.9721
UC295-Dw_tDNtZXFeAPAW6Aw,ukNNBgbJJeA,0.9267
UC295-Dw_tDNtZXFeAPAW6Aw,FVXX2IdJCeA,0.9833
UC295-Dw_tDNtZXFeAPAW6Aw,ohi8W4gnwbY,0.9551
UC295-Dw_tDNtZXFeAPAW6Aw,5O0tpTAK1f8,0.9942
UC295-Dw_tDNtZXFeAPAW6Aw,YQMjr7kpK3U,0.7915
UC295-Dw_tDNtZXFeAPAW6Aw,ONaDqsUr7NE,0.9252
UC295-Dw_tDNtZXFeAPAW6Aw,vnSTxeLMxuE,0.9922
UC295-Dw_tDNtZXFeAPAW6Aw,VnysTdhzvk8,0.4483
UC295-Dw_tDNtZXFeAPAW6Aw,TsxsG0a_oVE,0.7335
UC295-Dw_tDNtZXFeAPAW6Aw,SmbDNLSP2_s,0.872
UC295-Dw_tDNtZXFeAPAW6Aw,3Fe3tOM7h7I,0.9889
UC295-Dw_tDNtZXFeAPAW6Aw,5sib_3EVpAw,0.9012
UC295-Dw_tDNtZXFeAPAW6Aw,M4kDfikGdhM,0.9331
UC295-Dw_tDNtZXFeAPAW6Aw,KjuRM9jTo4Q,0.962
UC295-Dw_tDNtZXFeAPAW6Aw,QJCeCxPJzd4,-0.6784
UC295-Dw_tDNtZXFeAPAW6Aw,_tMTAptrNCc,0.974
UC295-Dw_tDNtZXFeAPAW6Aw,L-15kELAOcc,0.9745
UC295-Dw_tDNtZXFeAPAW6Aw,XNWthTQ_brw,0.845
UC295-Dw_tDNtZXFeAPAW6Aw,dymcEwYaC9c,0.981
UC295-Dw_tDNtZXFeAPAW6Aw,xltG7t2S5Ck,0.992
UC295-Dw_tDNtZXFeAPAW6Aw,e1t0SYgZ8Uw,0.6072
UC295-Dw_tDNtZXFeAPAW6Aw,KPDbA6XncBY,-0.4588
UC295-Dw_tDNtZXFeAPAW6Aw,a91TEQ4Qu6I,0.8411
UC295-Dw_tDNtZXFeAPAW6Aw,wvM6SvuiHEk,0.9455
UC295-Dw_tDNtZXFeAPAW6Aw,FPlT05VjWrc,0.9924
UC295-Dw_tDNtZXFeAPAW6Aw,JDA_aA3AYns,0.4783
UC295-Dw_tDNtZXFeAPAW6Aw,9774c5c5rQ4,0.9838
UC295-Dw_tDNtZXFeAPAW6Aw,_k2Mjkzl89g,0.9547
UC295-Dw_tDNtZXFeAPAW6Aw,4jL_nqZkv-o,0.8805
UC295-Dw_tDNtZXFeAPAW6Aw,Lxs4jfEu3ow,0.9944
UC295-Dw_tDNtZXFeAPAW6Aw,aIMkpN-q-vg,0.9582
UCIwFjwMjI0y7PDBVEO9-bkQ,_lpSCOZ1PCo,0.9993
UCHkj014U2CQ2Nv0UZeYpE_A,ZMH9AMwAk34,0.9764
UCIwFjwMjI0y7PDBVEO9-bkQ,-78y2WW4YDA,0.9991
