video_id,new_length
lmH5uqwaFq8,179.0
0SY0Yn0yF9o,1792.0
sNyF7BvVfxs,169.0
K4kqqCzF-BA,3681.0
gfZmvllWVwY,159.0
Ay3m-zZ4KLs,1740.0
mbPNkDEN3Ps,209.0
kSx1tS52ov4,3401.0
o3eMkWX8E7U,169.0
o1YenjwOp-A,2094.0
hqFfJBOrvHw,162.0
QYTYKUMOuwo,3610.0
biXYtxZnChQ,178.0
tkTYVy5sdIg,3412.0
-4nWoQwSHGE,194.0
zhoVe42Pxb0,2146.0
lkBlyggtYhA,176.0
3rKIRUm5oV4,3290.0
3QFTTxD7SuY,185.0
DqhH2OUOl1M,1698.0
SSe98txCv00,174.0
uHJN15kVTLY,3567.0
zHvKlszHzCg,172.0
dxjciWnjd0M,1890.0
3LEW8jG-Q5Y,250.0
usqngNJYnug,2973.0
3e_KEVMUvuo,171.0
NSlWgxDFbe8,2129.0
f_8Bce7Y_p4,1773.0
G_MubFgSHdI,175.0
tztm8t46_hI,3399.0
ep2qRkyIjek,176.0
GbRm5DFfl88,1563.0
Xxa-wbT93QU,2105.0
Xf4XemBwzDY,176.0
dfRBIE3AE34,2087.0
LA2q3QwhG54,162.0
FGcXy0MZ3Ys,2953.0
iWwDq7-TCo4,188.0
j7DH5splyoY,3583.0
U5Inxa3jK0Y,167.0
Zre4vqUAgHU,2332.0
hqzvHfy-Ij0,196.0
LCwxpu1uV60,3644.0
Lig3cP174Jo,193.0
uCNLiwNFvuc,2398.0
wwosJXWGWRY,171.0
TF-RmVyoEbM,3220.0
FtAZUKtC0Fk,191.0
8XR9OzAeDqQ,880.0
LzCA5zHayyk,1941.0
UhjjjqmGAkI,1351.0
cLFJjMokld8,599.0
vwfQq9IA8TA,2361.0
P8XP4oamvzk,1498.0
sIw9GwePGKg,1131.0
KASLwYxrILs,923.0
DYdrFALAlZQ,1422.0
JDsuYy1qsiA,1088.0
BQ35bZAPUnk,423.0
fJ2_06vAZkw,1058.0
qQiwgEQNfQs,2134.0
p1HbuJ9HYOY,1562.0
T_XxiQdCH_s,1305.0
MgZjlKiQxCw,907.0
j0XyUEQYIdc,1992.0
aIciGms2y6A,953.0
peSOesOoxS4,1076.0
n2nTd1VbsLM,676.0
yxbO9K7lKbQ,1476.0
uakp2SrXOwQ,1603.0
ktxBUqy6PT4,1174.0
P1IgBdnBeQM,1720.0
RF9SULnbMNc,1095.0
vDZHCYCd5Bo,1323.0
givTOOOPEs4,1181.0
njHcxwwqxL8,1437.0
cmOZNxxGrJU,761.0
XQ93AQ2uCBM,872.0
HNChn7eK1tM,824.0
HcrGMcJJWfc,1108.0
D0-IrQY4ix8,1520.0
aXVr_zZqGKg,1165.0
adspgeE7ndU,848.0
yNsIh0ciYiI,971.0
mdNEZlLkPA4,975.0
R55ACTWHvBY,805.0
ZBgJJPZjg2k,499.0
N2N5ZwX6U20,838.0
F-yEoHL7MYY,3227.0
Ahzrv1TQGHY,794.0
Td4Pd_9oyn8,774.0
YM3uJ6RtBZM,851.0
pqh4LfPeCYs,928.0
fUWn6BYrYK8,1236.0
RF78s4nphEY,643.0
-fWXLAkHmxA,1183.0
JIz0-6_mPIE,1366.0
73XDeGdl94w,1258.0
YlvcFJOE-OE,40.0
iogcY_4xGjo,941.0
S_CUEOBZ0P4,55.0
gHzuabZUd6c,1077.0
65fN_OUawjk,743.0
jdMNoQE3mIQ,494.0
2isYuQZMbdU,931.0
dZklZVaU4AI,15.0
tVWWp1PqDus,1013.0
vaIgyRoUkQI,784.0
Hwybp38GnZw,1021.0
hD1YtmKXNb4,839.0
LnlKwzc_TNA,541.0
3jS_yEK8qVI,481.0
00NgUctWoLQ,729.0
x9TQ6culXIA,725.0
