id,title,description,customUrl,publishedAt,thumbnails.default.url,defaultLanguage,viewCount,subscriberCount,videoCount,topicIds,topicCategories,relatedPlaylists.uploads,category_title
UCJFp8uSYCjXOMnkUyb3CQ3Q,Tasty,"Tasty
The official YouTube channel of all things Tasty, the world's largest food network. From recipes, world-class talent, and top-of-the-line cookware, we help connect food lovers in every way they interact with food.

Connect with Tasty:
Shop the NEW Tasty Merch: https://bzfd.it/shoptastyyoutube
Subscribe to Tasty Newsletters: https://bzfd.it/2SC4h0S
Like us on Facebook: http://www.facebook.com/buzzfeedtasty
Follow us on Instagram: https://www.instagram.com/buzzfeedtasty/
Follow us on Twitter: https://www.twitter.com/tasty
Find our recipes and buy the ingredients all in one place. Download the Tasty app today: https://tsty.it/app
Shop the Tasty Kitchenware line: https://t.co/0dPSuobra7",@buzzfeedtasty,2016-01-22 23:05:31+00:00,https://yt3.ggpht.com/ytc/AMLnZu_n6_vttvQWRiUf1mG2TzRzRTM6eMnA_vHJDsd5qA=s88-c-k-c0x00ffffff-no-rj,,5563502938,21000000,4372,"['/m/02wbm', '/m/019_rr']","['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",UUJFp8uSYCjXOMnkUyb3CQ3Q,top_cooking_channels
UCJHA_jMfCvEnv-3kRjTCQXw,Babish Culinary Universe,"Binging with Babish is the realization of a young(ish) man's dream to combine his love of film and cooking, and to have some fun in the process.  Join us each week as we recreate the foods you've always wanted to try in movies and television - and if you're not careful, you just might learn a thing or two.

Please support Binging with Babish!  Check out my Patreon at http://www.patreon.com/bingingwithbabish - you can get access to bonus videos, special content, and even a custom episode if you give me enough sweet sweet money!

Also check us out on:

http://www.twitter.com/bingingwbabish
http://www.facebook.com/bingingwithbabish
http://www.youtube.com/bgfilms
http://www.instagram.com/bingingwithbabish",@babishculinaryuniverse,2006-08-21 19:21:03+00:00,https://yt3.ggpht.com/ytc/AMLnZu8y65Kqbg0e4OUZClxeu5qteQZEQqjenCHW3wYg=s88-c-k-c0x00ffffff-no-rj,,2418112820,9900000,557,"['/m/02wbm', '/m/019_rr']","['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",UUJHA_jMfCvEnv-3kRjTCQXw,top_cooking_channels
UCbpMy0Fg74eXXkvxJrtEn3w,Bon Appétit,"Welcome to Bon Appétit, where we want everyone to love cooking and eating as much as we do. Recipes you want to make. Cooking advice that works. Restaurant recommendations you trust.
",@bonappetit,2008-04-29 22:26:01+00:00,https://yt3.ggpht.com/ytc/AMLnZu-8wcultJDj1204nkP4ddEXP4kr3Xz7ipI-Bux_pnE=s88-c-k-c0x00ffffff-no-rj,,1666837397,6130000,1369,"['/m/019_rr', '/m/02wbm']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Food']",UUbpMy0Fg74eXXkvxJrtEn3w,top_cooking_channels
UCsP7Bpw36J666Fct5M8u-ZA,How To Cook That,"Hi I'm Ann Reardon welcome to How To Cook That
Have fun with me making creative dessert, cake and chocolate 
New video every second Friday. 
Subscribe: http://bit.ly/SUBSCRIBE2_how_to_cook_that
Support: https://patreon.com/h2ct
My Cookbook: https://bit.ly/ARcookbook
❤️  Merch: https://www.howtocookthat.net/public_html/shop/
MY PLAYLISTS
CAKE: http://bit.ly/amazing_cake
CHOCOLATE: http://bit.ly/chocolate_chocolate_and_more_chocolate
DESSERT RECIPES: http://bit.ly/how_to_cook_that_dessert_recipes
BAKING MACARONS AND SWEET SNACKS: http://bit.ly/macarons_sweet_snacks

Instagram: https://www.instagram.com/howtocookthat/
Facebook: https://www.facebook.com/howtocookthat

Business enquiries only: business [at] howtocookthat.net",@howtocookthat,2011-04-16 12:02:40+00:00,https://yt3.ggpht.com/ytc/AMLnZu8xCcCQLMP_kaidNuoc6Ygq0GLc-YuGBJQmeC-2tA=s88-c-k-c0x00ffffff-no-rj,,888257555,4910000,493,"['/m/02wbm', '/m/03glg', '/m/019_rr']","['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Hobby', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",UUsP7Bpw36J666Fct5M8u-ZA,top_cooking_channels
UCfyehHM_eo4g5JUyWmms2LA,Sorted Food,"We’re a group of mates battling to become awesome home cooks.

From our studio in London, we’re joined by millions of passionate chefs and ‘normals’ around the world to explore, learn and have a laugh around food.

Each week we serve up two new videos for you to devour - catch them on Wednesday and Sunday at 4pm GMT.

Want to become a HERO in the kitchen too? Try the Smarter Recipe Packs in our Sidekick app and smash it like a chef - sign up for a free trial below.
",@sortedfood,2010-03-14 15:59:31+00:00,https://yt3.ggpht.com/c1Rvhv14xB0gOIfZHnDuQ8Q8jXaY67nF4PZ3-R6ojLoEpF7MCCAozvFDyq1j_6OJSUCbVA01qA=s88-c-k-c0x00ffffff-no-rj,en-GB,882817587,2640000,1752,"['/m/019_rr', '/m/02wbm']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Food']",UUfyehHM_eo4g5JUyWmms2LA,top_cooking_channels
UCpSgg_ECBj25s9moCDfSTsA,Jamie Oliver,"We are all about beautiful recipes, expert tutorials, fresh talent, wonderful food and funny videos every week plus loads of your other favourite YouTubers dropping by to say hello. 
PLUS this channel is about you too. Tell us what you want to see, what's cool and how we can do better and we'll talk straight back. Get involved and subscribe for the latest!

 
Big Love

Jamie O. x

#FOODTUBE",@jamieoliver,2006-05-21 14:19:07+00:00,https://yt3.ggpht.com/ytc/AMLnZu_ac7dAYZXz64ENCmW19CHOUb0MF24t7SWt51nbRQ=s88-c-k-c0x00ffffff-no-rj,en-GB,863099573,5740000,1798,"['/m/019_rr', '/m/02wbm']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Food']",UUpSgg_ECBj25s9moCDfSTsA,top_cooking_channels
UC8gFadPgK2r1ndqLI04Xvvw,Maangchi,"Hi! I'm Maangchi! My channel is all about cooking, eating, and enjoying Korean cuisine with your family and friends.

Cooking wholesome and delicious food and sharing it with loved ones is very important for me, so here you'll find the best of my best recipes. If you like food, and like sharing food with other people, we're going to be instant friends!

Thank you for your interest in my recipes & take care!",@maangchi,2007-04-03 12:43:17+00:00,https://yt3.ggpht.com/ytc/AMLnZu9HfpYduncAqBTuCyvv6vT1sMBfydIlhwcjRcynIw=s88-c-k-c0x00ffffff-no-rj,,679293948,6120000,480,"['/m/019_rr', '/m/02wbm']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Food']",UU8gFadPgK2r1ndqLI04Xvvw,top_cooking_channels
UCNbngWUqL2eqRw12yAwcICg,Laura in the Kitchen,"Hi there, welcome to my channel! This is where I share my passion for cooking with the world. I started Laura in the Kitchen in 2010 as a way to help share the love of the kitchen with anyone willing to watch an learn.

I had no idea that so many of you would tune in and love to cook with me! I've shared over a thousand recipes here on YouTube, all of them are super yummy, and I hope you enjoy them as much as I do!

I'm not here to turn you into a perfect chef, just help you navigate the kitchen and make food everyone will love!",@laurainthekitchen,2010-01-15 02:09:46+00:00,https://yt3.ggpht.com/ytc/AMLnZu_HXW2ndhCQ3p1YnZCfJSgBl2mPCfpyX_sOC5HG_AI=s88-c-k-c0x00ffffff-no-rj,,642625761,3870000,1747,"['/m/019_rr', '/m/02wbm']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Food']",UUNbngWUqL2eqRw12yAwcICg,top_cooking_channels
UCYjk_zY-iYR8YNfJmuzd70A,Epic Meal Time,We make your dreams come true... and then we eat them.,@epicmealtime,2010-09-29 19:34:09+00:00,https://yt3.ggpht.com/ytc/AMLnZu-qFeW2GIJmuBxvvhGgrnFnlDo9OsdMPCXert4DXTU=s88-c-k-c0x00ffffff-no-rj,,562416182,6890000,422,"['/m/019_rr', '/m/02wbm']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Food']",UUYjk_zY-iYR8YNfJmuzd70A,top_cooking_channels
UCRxAgfYexGLlu1WHGIMUDqw,JunsKitchen,"Thank you for visiting my channel! If you have a request, please leave a comment. :)
I am not professional chef. I just like cooking.
If you're also interested, I have an Instagram below, too.
Thank you!

My other channel (Rachel & Jun): https://www.youtube.com/RachelAndJun

お立ち寄りいただき、ありがとうございます。
週末に趣味で料理をしております。リクエストなど、
何でも気軽にコメントしていただければ幸いです。^^

(日本語字幕は新しいものから更新予定です)

メインチャンネル: https://goo.gl/GcxsSH",@junskitchen,2012-11-12 02:38:12+00:00,https://yt3.ggpht.com/ytc/AMLnZu95vXcA3_YQ7Z951kfFchn1XNyTXRpY--dhraMGbQ=s88-c-k-c0x00ffffff-no-rj,,383114517,5320000,38,"['/m/068hy', '/m/02wbm', '/m/019_rr', '/m/03glg']","['https://en.wikipedia.org/wiki/Pet', 'https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Hobby']",UURxAgfYexGLlu1WHGIMUDqw,top_cooking_channels
