id,title,description,customUrl,publishedAt,thumbnails.default.url,viewCount,subscriberCount,videoCount,topicIds,topicCategories,relatedPlaylists.uploads,category_title
UCIJwWYOfsCfz6PjxbONYXSg,blogilates,"Hey guys! My name is Cassey Ho, I am a certified Pilates and Fitness Instructor.

Welcome to my channel! I am excited that you are here and I am thrilled for you to start your fitness journey!

This channel is 100% focused on you. That's how it should be, right? I want to see you accomplish your health and fitness goals so you can not only look amazing, but also FEEL amazing. How are we going to do that? By helping you find the JOY in fitness!

Make sure to hit that subscribe button because let me tell you, you need an accountability partner on your journey and I want to be there for you helping remind you that you can do it!

Are you ready to get started? Let's go!!!

Send me letters and other goodies to: 

Cassey Ho
16350 Ventura Blvd Ste D #334
Encino, CA 91436 
",@blogilates,2009-06-13 09:05:48+00:00,https://yt3.ggpht.com/Xu2hZGsG0G1IaFErBLZE-7dLBHZlQV2hHW1VfDf3qkoTZgHhES19wGPGEMcijZpkMAip-ngzjOY=s88-c-k-c0x00ffffff-no-rj,2011288007,7600000,1091,"['/m/027x7n', '/m/019_rr', '/m/032tl', '/m/03glg']","['https://en.wikipedia.org/wiki/Physical_fitness', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Fashion', 'https://en.wikipedia.org/wiki/Hobby']",UUIJwWYOfsCfz6PjxbONYXSg,top_fitness_channels
UCiP6wD_tYlYLYh3agzbByWQ,FitnessBlender,"600 free full length workout videos & counting! Subscribe to never miss a new workout. Track your workouts and progress with our free customizable online workout calendar @ www.FitnessBlender.com 

Need help putting together a smart workout plan? We also offer incredibly effective home workout programs @ https://www.fitnessblender.com/plans

Everything you see on this YouTube Channel is created by two people, a husband and wife team; Daniel & Kelli. We believe that smart workouts and healthy whole foods can improve your health, quality of life, and body. Our priority is in sharing unbiased workout, nutrition, and health information. Thank you for working out with us!

Have a workout request? Questions? Talk to us. We want to hear from you & we listen.",@fitnessblender,2010-01-19 18:26:36+00:00,https://yt3.ggpht.com/ytc/AMLnZu_F2Ws7DjR0t1dE5nydx3f951p0hcw0x3qVO70zpdg=s88-c-k-c0x00ffffff-no-rj,1255108574,6660000,958,"['/m/027x7n', '/m/019_rr']","['https://en.wikipedia.org/wiki/Physical_fitness', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",UUiP6wD_tYlYLYh3agzbByWQ,top_fitness_channels
UCBINFWq52ShSgUFEoynfSwg,POPSUGAR Fitness,"POPSUGAR Fitness offers fresh fitness tutorials and exercises — find strengthening, heart-pumping, empowering, and downright feel-good workouts you can do at home or on the go. Whether you're looking for full-body routines or moves focused on arms, glutes, or core, we've got you covered. Short on time? Find 10-, 15-, or 30-minute workouts ranging from beginner to advanced in bodyweight cardio, dance, Tabata, Pilates, barre, and everything in between. And don't miss Class Fitsugar and Dance Fitsugar, our do-it-along-with-us workout shows, and sweat alongside fitness experts and trainers.",@popsugarfitness,2010-11-22 00:07:39+00:00,https://yt3.ggpht.com/a1Wrf7VynUye1bO6ZiDmBCjv57E_56_LN1KRAWJN79iWjfbAYcTRnEpADmfNUThxGrVmfNE7Kw=s88-c-k-c0x00ffffff-no-rj,942939712,6020000,1563,"['/m/019_rr', '/m/03glg', '/m/027x7n']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Hobby', 'https://en.wikipedia.org/wiki/Physical_fitness']",UUBINFWq52ShSgUFEoynfSwg,top_fitness_channels
UCyqR7WkL8i1b6xtSssDmW9w,The Fitness Marshall,"Join the Booty Army here: https://www.youtube.com/channel/UCyqR7WkL8i1b6xtSssDmW9w/join
Listen to our official Spotify playlist here: https://WEA.lnk.to/tfmAY 

BOOTIES AT ATTENTION!
Get ready to sweat yourself sexy with The Fitness Marshall!! 

Original Dance Workouts created by Caleb Marshall.

PO BOX 3289
North Hollywood, CA 91609",@thefitnessmarshall,2014-09-11 20:59:21+00:00,https://yt3.ggpht.com/ytc/AMLnZu89mSb5JL-tAuwatP6bPc6tdNhrdPPwO_kWB-9G=s88-c-k-c0x00ffffff-no-rj,900355080,4300000,490,"['/m/027x7n', '/m/019_rr', '/m/03glg']","['https://en.wikipedia.org/wiki/Physical_fitness', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Hobby']",UUyqR7WkL8i1b6xtSssDmW9w,top_fitness_channels
UCEtMRF1ywKMc4sf3EXYyDzw,ScottHermanFitness,"NEW VIDEOS EVERY TUESDAY & THURSDAY!

NO BRO-SCIENCE, NO DRAMA, NO CLICK BAIT, just kick-ass videos geared toward helping you learn how to maximize your workouts and GAINS!

Need a CUSTOM MEAL PLAN or program geared toward FAT LOSS, STRENGTH, or MUSCLE GAIN?  Then get the guidance you deserve by joining our online community at MuscularStrength.com and be sure to DOWNLOAD THE APP (MuscularStrength - Android & iPhone).",@scotthermanfitness,2009-05-25 21:31:17+00:00,https://yt3.ggpht.com/ytc/AMLnZu9ALHLq0-UHFhwHK39A7uvLZbAnAIU_PGXmIqqN=s88-c-k-c0x00ffffff-no-rj,602906424,2720000,1826,"['/m/019_rr', '/m/027x7n']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Physical_fitness']",UUEtMRF1ywKMc4sf3EXYyDzw,top_fitness_channels
UCM1Nde-9eorUhq-teaWlgUA,XHIT Daily,"We're back with a new workout series thanks to our partners, Fitbod! Comment to let us know what you want to see next. 

SIGN UP for 25% OFF FITBOD NOW → https://insd.io/3cAmaVL

Daily workouts with a healthy dose of energy! Come join us for a training session, a workout challenge, or tips on how to get the body you desire.",@xhit,2012-07-28 00:05:27+00:00,https://yt3.ggpht.com/ytc/AMLnZu-zpk0sXDsrQfTEMW3gRmZkF20ATxWPrPJySYfTeQ=s88-c-k-c0x00ffffff-no-rj,536947045,3240000,694,"['/m/027x7n', '/m/019_rr']","['https://en.wikipedia.org/wiki/Physical_fitness', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",UUM1Nde-9eorUhq-teaWlgUA,top_fitness_channels
UC4GJndVHEhdmqLFBHOCi97A,Jordan Yeoh Fitness,"Hey! Welcome to my Youtube channel! I got nothing much to say here, but one thing for sure is I hope you will get a lot of benefits from my content. Alright then, see you in my videos!",@jordanyeohfitness,2013-10-17 06:25:43+00:00,https://yt3.ggpht.com/ytc/AMLnZu8y7SFZgCrzNWC4vscWEqHehgiTSlOjrEA5keK1Eg=s88-c-k-c0x00ffffff-no-rj,302737660,3640000,275,"['/m/019_rr', '/m/027x7n']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Physical_fitness']",UU4GJndVHEhdmqLFBHOCi97A,top_fitness_channels
UCEQi1ZNJiw3YMRwni0OLsTQ,Whitney Simmons,,@whitneysimmons,2015-05-16 04:37:24+00:00,https://yt3.ggpht.com/ytc/AMLnZu_8CFkhC8A--mnPbdmGFFeYjYLtydorkpI2GzCYXg=s88-c-k-c0x00ffffff-no-rj,222337247,2080000,430,"['/m/027x7n', '/m/02wbm', '/m/0kt51', '/m/019_rr']","['https://en.wikipedia.org/wiki/Physical_fitness', 'https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",UUEQi1ZNJiw3YMRwni0OLsTQ,top_fitness_channels
UCGMOauU8dOd4mv2bT3Tx57w,Guru Mann Fitness,"Guru Mann, world's first fitness professional who has launched 50+ free complete fitness programs with exercise and nutrition videos on the internet including Medical condition programs like: Diabetes, cholesterol, blood pressure, cancer, drug rehab, thyroid, etc

1. 6 Week Shredded - Fat Loss Program
2. Muscle Size 5x5 - SIZE GAIN PROGRAM 
3. Ultimate Arms - Biceps & Triceps Work Out
4. Muscular 8 - Fat Loss Program
5. Pure Mass - Muscle Building program
6. GET RIPPED - Fitness Model Program
7. CONTROL DIABETES - (Medical Condition Program)
8. FIT-ZONE - BODY WEIGHT WORKOUT"" 
9. SHREDDED NEXT LEVEL - Advance Fat Loss Program
10. LEAN MODE - Clean Gain
11. CHOLESTEROL DIET(Medical Condition Program)
12. MASS UP - Mass building 
13. Transformation 30 Body weight workout Program
14. GAINER (Pecs & Delts)
15.GET RIPPED  Fitness Model Workout
......Total 50programs launched till Dec 2020",@gurumannfitness,2015-12-05 07:29:20+00:00,https://yt3.ggpht.com/bJqTYerwxsBAme_ll_Hdxk-f-xO4F5Dm54AfTd0CYZQp4lTODtfOlVBN4GSWYB4xlYJ2SCZw=s88-c-k-c0x00ffffff-no-nd-rj,170350424,2350000,411,"['/m/019_rr', '/m/0kt51', '/m/027x7n']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Health', 'https://en.wikipedia.org/wiki/Physical_fitness']",UUGMOauU8dOd4mv2bT3Tx57w,top_fitness_channels
UCiH4auDlkM0tgn9ewT3B1Vw,Sascha Fitness,"Hola Chicos! bienvenidos a mi canal, un espacio lleno de información y motivación! Mi objetivo es que aprendan muchísimo, tengan todas las herramientas para tomar mejores decisiones y alcancen sus metas. El fitness es un estilo de vida que puede adaptarse a ti. Es un tema que me apasiona y se que puede cambiar sus vidas, los ayudará a ser una mejor versión de ustedes mismos, por dentro y por fuera. Yo no sólo soy una Fitness Coach, también soy mamá, esposa, amiga, empresaria..vivo y promuevo el fitness de una forma equilibrada, divertida. Acá encontrarás respuestas a muchas de tus dudas! Suscríbete para que no te pierdas ni un capitulo, te prometo que todos están llenos de tips super útiles! :)",@saschafitnesstv,2014-06-26 15:55:43+00:00,https://yt3.ggpht.com/ytc/AMLnZu-CN0JS2ulYyazcih9AHSSCLX82CwO0mt3uPywQJA=s88-c-k-c0x00ffffff-no-rj,131027169,1920000,251,"['/m/019_rr', '/m/02wbm']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Food']",UUiH4auDlkM0tgn9ewT3B1Vw,top_fitness_channels
