id,title,description,publishedAt,thumbnails.default.url,customUrl,defaultLanguage,viewCount,subscriberCount,videoCount,topicIds,topicCategories,relatedPlaylists.uploads,category_title
UCVaXclURQZlakiTMzuwHvRw,News 19 WLTX,,2011-12-21 17:39:17+00:00,https://yt3.ggpht.com/ytc/AMLnZu-8_YkpQk6sTtz-1mdtQT1Y8JShthRwedM3-FRr8Q=s88-c-k-c0x00ffffff-no-rj,@news19wltx,,150105437,249000,24026,['/m/098wr'],['https://en.wikipedia.org/wiki/Society'],UUVaXclURQZlakiTMzuwHvRw,random_channels
UCQqaNnVhS1w_iTeFaIJsXog,Channel 4 Comedy,"Welcome to Channel 4 Comedy, quite possibly the funniest place on YouTube.

Peep Show, The Inbetweeners, Friday Night Dinner, Chewing Gum, Derry Girls (the list goes on) - Channel 4’s had you in stitches for decades… and we’re not stopping now! Treat yourself to some of the best original comedy the UK has to offer, the sort of stuff you'd only expect from Channel 4 and E4, right here on YouTube.

As always, don't forget to COMMENT, LIKE and SUBSCRIBE. 
",2011-12-07 10:09:28+00:00,https://yt3.ggpht.com/ZTtbUCHFDWj59CSuZYTcQRpdmzaOsWZS5uMe5npGgW5zxjEb0rqD7n-Iepzqrn3eTvoLKkHJ=s88-c-k-c0x00ffffff-no-rj,@channel4comedy,,132644274,167000,726,"['/m/02jjt', '/m/0f2f9', '/m/02vxn', '/m/09kqc']","['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Television_program', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Humour']",UUQqaNnVhS1w_iTeFaIJsXog,random_channels
UC6YN4FNhAKN3MDO5DbJSnOA,Queen City News,"Carolinas' Own Queen City News - WJZY, virtual channel 46, is a FOX-affiliated television station serving Charlotte, North Carolina, United States that is licensed to Belmont. The station is owned by Nexstar Media Group, as part of a duopoly with Rock Hill, South Carolina-licensed MyNetworkTV affiliate WMYT-TV. 

Thanks for stopping by Carolinas' Own Queen City News YouTube channel! We’re proud to bring you local stories, breaking news, in-depth investigations, Charlotte-area weather, and more!

Subscribe to Queen City News YouTube: https://www.youtube.com/myfoxcarolinas/videos  
Watch more Queen City News video: https://www.qcnews.com/  
Watch Queen City News live: https://qcnews.com/live 

",2010-06-22 20:42:54+00:00,https://yt3.ggpht.com/32iHHkC7hX_VCV13Ix8og059abtHmkzXxSHEdOmJs6J2FA3XGJb8RxyJMlxPSoPZH7wLP5_5ow=s88-c-k-c0x00ffffff-no-rj,@queencitynews,,83768935,125000,11538,['/m/098wr'],['https://en.wikipedia.org/wiki/Society'],UU6YN4FNhAKN3MDO5DbJSnOA,random_channels
UCjlgDApB1OrU_3-1dLMHOZg,Cooking with Shotgun Red,"Welcome to Cooking with Shotgun Red! Thanks for checking out our cooking channel! 

We have over 400 easy and delicious recipes from Beef, Pork, Poultry, Fish, Seafood, Deserts, and even Wild Game! 
We hope you find a recipe that you can share with your friends and family and get some great feedback at the table. 
This channel was created by the legendary Steve Hall creator of Shotgun Red. Steve passed away in December 2018 but with the help of his longtime parter Miss Sheila and his longtime friend, vocalist from his show, Jennifer Bruce, we are still releasing fun and delicious recipes! Steve would be so happy knowing his channel continues to grow and live on.
We hope you subscribe to our channel! Follow us!
Get our cookbooks now available on Amazon https://amzn.to/2HHX5eT

Thanks for watching and supporting our channel!",2014-02-28 21:30:49+00:00,https://yt3.ggpht.com/ytc/AMLnZu-50UpY1MT3WKPGrQVyq8ONPQsjc2UT7MPf7jERWQ=s88-c-k-c0x00ffffff-no-rj,@cookingwithshotgunred,,44025876,422000,453,"['/m/019_rr', '/m/02wbm']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Food']",UUjlgDApB1OrU_3-1dLMHOZg,random_channels
UCf7J0vxbg6SsIjY9587PEiQ,British Comedy Guide,This is the YouTube channel for the British Comedy Guide - a website all about UK comedy.,2009-10-22 12:38:38+00:00,https://yt3.ggpht.com/ytc/AMLnZu_1Cys5625lbUGLvIrbEFc66ddtDhcnOoKkB76X=s88-c-k-c0x00ffffff-no-rj,@britishcomedyguide,,40935727,37800,951,"['/m/02jjt', '/m/0f2f9', '/m/02vxn']","['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Television_program', 'https://en.wikipedia.org/wiki/Film']",UUf7J0vxbg6SsIjY9587PEiQ,random_channels
UCAlZ-9e75wau2hY_wWFliNA,Defense Flash News,"Your #1 Source for Military Videos & News :) All About Only Military Stuff Likes are listed below in details!

#United States #Air National Guard  #Army National Guard  #U.S. Air Fore #Army #Marines #Navy #Coast Guard #NASA #NATO #Military Defense #Technologies #Special operation forces #International armed forces #War Conflicts # International Military drills #Weapons #Aircraft  #Ships #Vehicles

Welcome to the official Defense Flash News channel on YouTube. 
Please subscribe and join us at our website: https://defenseflashnews.com

The Defense Flash News is an independent, educational and documentary military channel devoted to armed forces and military technologies. We like the Military! All the content on the channel is STRICTLY for informational, documentary and historical purposes!

The appearance of U.S. Department of Defense (DoD) visual information does not imply or constitute DoD endorsement.

Thank you for watching & Please Don’t forget to Subscribe to our channel.",2017-07-22 09:04:54+00:00,https://yt3.ggpht.com/eXX2uQd-yrAjMvs47w6QHpQiKz67SccCAlxn7PHjU4JYxdP26-BokIA-YHhrJ1cKN2oxKVch=s88-c-k-c0x00ffffff-no-rj,@defenseflashnewstoday,en,36648536,114000,50194,"['/m/098wr', '/m/07yv9', '/m/019_rr', '/m/01h6rj']","['https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Vehicle', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Military']",UUAlZ-9e75wau2hY_wWFliNA,random_channels
UCMffaLPtQHcuQ6UY83qtM0g,Journaling Tale,"🎀 Join me for journaling sessions, stationery hauls, and studio vlogs 🌸",2010-04-02 18:25:07+00:00,https://yt3.ggpht.com/2VoGoLcMY3HQqjVpN-Gp_Vv-0LFItya3p6Ry3ybcIbeUDC0-MoLZgt6Qr5ubrLJa0El6ehZj5Q=s88-c-k-c0x00ffffff-no-rj,@journalingtale,,34765405,181000,502,"['/m/03glg', '/m/019_rr']","['https://en.wikipedia.org/wiki/Hobby', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",UUMffaLPtQHcuQ6UY83qtM0g,random_channels
UCECGTK7DkU7I8SSfBItn3uw,carina,hi i'm carina and you will have a guaranteed good time on my channel so subscribe :),2015-11-14 01:23:40+00:00,https://yt3.ggpht.com/EW87vnzp9hK3YQuV93M2QJtYnl_16pNu8826dPRb31RBzarYgyejC-698UF-tEVgc6aDTDtRDw=s88-c-k-c0x00ffffff-no-rj,@carinanatalie,,29901260,435000,132,['/m/019_rr'],['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],UUECGTK7DkU7I8SSfBItn3uw,random_channels
UCL-yKZ_kCuKBHyeRfePpvuw,Education Week,"Education Week is your source for compelling videos on K-12 education, including powerful stories about schools across the nation, news coverage, explainers, unique perspectives on education debates, and profiles of exemplary educators. 

About Education Week:
Education Week (edweek.org) is America’s most trusted source of independent K-12 education news, analysis, and opinion, with comprehensive coverage of education policy and practice in print, on the web, in video, and via live and virtual events. Our work serves to raise the level of understanding and discourse about education among policymakers, school and district leaders, teachers, researchers, and the public. Education Week has been providing award-winning coverage of the field for over 35 years.

Interested in licensing? Contact reprints@epe.org",2008-01-15 17:52:02+00:00,https://yt3.ggpht.com/ytc/AMLnZu8nJlJP0UE2XKKzhR3vMC3OqteopsdlTiVNZdN8yQ=s88-c-k-c0x00ffffff-no-rj,@educationweek,,14216746,34900,1152,"['/m/01k8wb', '/m/098wr']","['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Society']",UUL-yKZ_kCuKBHyeRfePpvuw,random_channels
UCXwFtLCUu10dJKKWD_TD2LQ,National Education Association,"The National Education Association (NEA) is more than 3 million people—educators, students, activists, workers, parents, neighbors, friends—who believe in opportunity for all students and in the power of public education to transform lives and create a more just and inclusive society. Hear from our members as we work together to advance justice and excellence in public education.

Headquartered in the nation's capital, NEA's national leadership includes President-Elect Becky Pringle, Vice President-Elect Princess Moss, and Secretary Treasurer-Elect Noel Candelaria.",2007-03-19 17:04:29+00:00,https://yt3.ggpht.com/ytc/AMLnZu-uTCfO5rQL4OG4dECX1eVZCQkpC-fGUSVtSuqcnQ=s88-c-k-c0x00ffffff-no-rj,@neaabs,,9810278,6840,1626,"['/m/01k8wb', '/m/098wr']","['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Society']",UUXwFtLCUu10dJKKWD_TD2LQ,random_channels
