video_id,channel_id,title,description,publishedAt,categoryId,viewCount,likeCount,dislikeCount,commentCount,topicId,video_title,published,video_views,video_madeforkids,video_likes,video_comment_count,video_length,video_title_clean
lmH5uqwaFq8,,,,,,,,,,,Airplane Song CoComelon Nursery Rhymes Kids Songs,2022-11-01T07:00:15Z,2414840,True,13417,0,2:59,Airplane Song CoComelon Nursery Rhymes Kids Songs
0SY0Yn0yF9o,,,,,,,,,,,Wheels On The Bus More Nursery Rhymes Kids Songs Lellobee by CoComelon,2022-10-29T07:00:00Z,2732527,True,14721,0,29:52,Wheels On The Bus More Nursery Rhymes Kids Songs Lellobee by CoComelon
sNyF7BvVfxs,,,,,,,,,,,Bingos Bath Song CoComelon Nursery Rhymes Kids Songs,2022-10-25T07:00:16Z,8441023,True,47178,0,2:49,Bingos Bath Song CoComelon Nursery Rhymes Kids Songs
K4kqqCzF-BA,,,,,,,,,,,Play Outside at the Beach Song More Nursery Rhymes Kids Songs CoComelon,2022-10-22T07:00:12Z,11385375,True,56762,0,1:1:21,Play Outside at the Beach Song More Nursery Rhymes Kids Songs CoComelon
gfZmvllWVwY,,,,,,,,,,,Halloween Song Dance Dance Party CoComelon Nursery Rhymes Kids Songs,2022-10-18T07:00:19Z,8653196,True,45845,0,2:39,Halloween Song Dance Dance Party CoComelon Nursery Rhymes Kids Songs
Ay3m-zZ4KLs,,,,,,,,,,,Silly Halloween Song More Nursery Rhymes Kids Songs CoComelon,2022-10-15T07:00:08Z,14590957,True,81708,0,29:,Silly Halloween Song More Nursery Rhymes Kids Songs CoComelon
mbPNkDEN3Ps,,,,,,,,,,,Yes Yes Fruits Song CoComelon Nursery Rhymes Kids Songs,2022-10-11T07:00:16Z,18256957,True,83433,0,3:29,Yes Yes Fruits Song CoComelon Nursery Rhymes Kids Songs
kSx1tS52ov4,,,,,,,,,,,Red Light Green Light Song More Nursery Rhymes Kids Songs CoComelon,2022-10-07T23:00:34Z,14149224,True,69788,0,56:41,Red Light Green Light Song More Nursery Rhymes Kids Songs CoComelon
o3eMkWX8E7U,,,,,,,,,,,Silly Halloween Song CoComelon Nursery Rhymes Kids Songs,2022-10-04T07:00:31Z,11797544,True,56627,0,2:49,Silly Halloween Song CoComelon Nursery Rhymes Kids Songs
o1YenjwOp-A,,,,,,,,,,,Lets Go Camping Song More Nursery Rhymes Kids Songs CoComelon,2022-10-01T07:00:17Z,12541176,True,70270,0,34:54,Lets Go Camping Song More Nursery Rhymes Kids Songs CoComelon
hqFfJBOrvHw,,,,,,,,,,,Humpty Dumpty Song Dance Dance Party CoComelon Nursery Rhymes Kids Songs,2022-09-27T07:00:15Z,8730874,True,33143,0,2:42,Humpty Dumpty Song Dance Dance Party CoComelon Nursery Rhymes Kids Songs
QYTYKUMOuwo,,,,,,,,,,,Fire Truck Fun Song More Nursery Rhymes Kids Songs CoComelon,2022-09-24T07:00:08Z,14542961,True,75417,0,1:10,Fire Truck Fun Song More Nursery Rhymes Kids Songs CoComelon
biXYtxZnChQ,,,,,,,,,,,How to Be a Hero Song CoComelon Nursery Rhymes Kids Songs,2022-09-20T07:53:06Z,11815458,True,44899,0,2:58,How to Be a Hero Song CoComelon Nursery Rhymes Kids Songs
tkTYVy5sdIg,,,,,,,,,,,Play Outside At The Train Park Song More Nursery Rhymes Kids Songs CoComelon,2022-09-17T07:18:34Z,14271249,True,77538,0,56:52,Play Outside At The Train Park Song More Nursery Rhymes Kids Songs CoComelon
-4nWoQwSHGE,,,,,,,,,,,JJs Treehouse Song CoComelon Nursery Rhymes Kids Songs,2022-09-13T07:04:39Z,11733553,True,56260,0,3:14,JJs Treehouse Song CoComelon Nursery Rhymes Kids Songs
zhoVe42Pxb0,,,,,,,,,,,Yes Yes Vegetables On The Farm More Nursery Rhymes Kids Songs CoComelon,2022-09-10T07:00:31Z,19127753,True,88329,0,35:46,Yes Yes Vegetables On The Farm More Nursery Rhymes Kids Songs CoComelon
lkBlyggtYhA,,,,,,,,,,,Train Song Dance Dance Party CoComelon Nursery Rhymes Kids Songs,2022-09-06T07:00:11Z,16980470,True,63212,0,2:56,Train Song Dance Dance Party CoComelon Nursery Rhymes Kids Songs
3rKIRUm5oV4,,,,,,,,,,,I Spy Song More Nursery Rhymes Kids Songs CoComelon,2022-09-03T07:00:01Z,16138519,True,71547,0,54:50,I Spy Song More Nursery Rhymes Kids Songs CoComelon
3QFTTxD7SuY,,,,,,,,,,,Fire Truck Song Trucks For Kids CoComelon Nursery Rhymes Kids Songs,2022-08-30T09:15:48Z,17238606,True,89074,0,3:5,Fire Truck Song Trucks For Kids CoComelon Nursery Rhymes Kids Songs
DqhH2OUOl1M,,,,,,,,,,,The Wheels on the Bus Dance CoComelon Nursery Rhymes Kids Songs Dance Party,2022-08-27T07:00:03Z,22114376,True,84358,0,28:18,The Wheels on the Bus Dance CoComelon Nursery Rhymes Kids Songs Dance Party
SSe98txCv00,,,,,,,,,,,Play Outside at the Beach Song CoComelon Nursery Rhymes Kids Songs,2022-08-23T07:00:08Z,78452389,True,230139,0,2:54,Play Outside at the Beach Song CoComelon Nursery Rhymes Kids Songs
uHJN15kVTLY,,,,,,,,,,,Opposites Song More Nursery Rhymes Kids Songs CoComelon,2022-08-20T07:00:16Z,16666273,True,84174,0,59:27,Opposites Song More Nursery Rhymes Kids Songs CoComelon
zHvKlszHzCg,,,,,,,,,,,Lets Go Camping Song Summer Family Fun CoComelon Nursery Rhymes Kids Songs,2022-08-16T07:00:15Z,23137250,True,85960,0,2:52,Lets Go Camping Song Summer Family Fun CoComelon Nursery Rhymes Kids Songs
dxjciWnjd0M,,,,,,,,,,,Baa Baa Black Sheep Pretend Play Edition More Nursery Rhymes Kids Songs CoComelon,2022-08-13T07:00:19Z,16192850,True,69019,0,31:30,Baa Baa Black Sheep Pretend Play Edition More Nursery Rhymes Kids Songs CoComelon
3LEW8jG-Q5Y,,,,,,,,,,,Yes Yes Vegetables On The Farm CoComelon Nursery Rhymes Kids Songs,2022-08-09T07:00:02Z,21406792,True,99533,0,4:10,Yes Yes Vegetables On The Farm CoComelon Nursery Rhymes Kids Songs
usqngNJYnug,,,,,,,,,,,Shopping Cart Song More Nursery Rhymes Kids Songs CoComelon,2022-08-06T07:00:30Z,51859000,True,250591,0,49:33,Shopping Cart Song More Nursery Rhymes Kids Songs CoComelon
3e_KEVMUvuo,,,,,,,,,,,Los Pollitos Dicen Dance Dance Party CoComelon Nursery Rhymes Kids Songs,2022-08-02T15:12:30Z,11751701,True,53584,0,2:51,Los Pollitos Dicen Dance Dance Party CoComelon Nursery Rhymes Kids Songs
NSlWgxDFbe8,,,,,,,,,,,Birthday At The Farm Song More Nursery Rhymes Kids Songs CoComelon,2022-07-30T12:40:42Z,26283087,True,132383,0,35:29,Birthday At The Farm Song More Nursery Rhymes Kids Songs CoComelon
f_8Bce7Y_p4,,,,,,,,,,,Finger Family Song More Nursery Rhymes Kids Songs CoComelon,2022-07-28T07:00:20Z,11895044,True,58002,0,29:33,Finger Family Song More Nursery Rhymes Kids Songs CoComelon
G_MubFgSHdI,,,,,,,,,,,Baa Baa Black Sheep CoComelon Nursery Rhymes Kids Songs,2022-07-26T07:00:07Z,17755313,True,85066,0,2:55,Baa Baa Black Sheep CoComelon Nursery Rhymes Kids Songs
-BztdXchohU,,,,,,,,,,,Birthday Song More Nursery Rhymes Kids Songs CoComelon,2022-07-23T09:02:11Z,19513984,True,113731,0,35:42,Birthday Song More Nursery Rhymes Kids Songs CoComelon
tztm8t46_hI,,,,,,,,,,,Big Brother Song More Nursery Rhymes Kids Songs CoComelon,2022-07-21T07:00:30Z,16335478,True,54558,0,56:39,Big Brother Song More Nursery Rhymes Kids Songs CoComelon
ep2qRkyIjek,,,,,,,,,,,JJs Birthday At The Farm Song CoComelon Nursery Rhymes Kids Songs,2022-07-19T07:00:13Z,12954114,True,66845,0,2:56,JJs Birthday At The Farm Song CoComelon Nursery Rhymes Kids Songs
GbRm5DFfl88,,,,,,,,,,,Baa Baa Black Sheep Dance Dance Party  More Nursery Rhymes Kids Songs CoComelon,2022-07-15T23:00:05Z,6993376,True,41835,0,26:3,Baa Baa Black Sheep Dance Dance Party  More Nursery Rhymes Kids Songs CoComelon
Xxa-wbT93QU,,,,,,,,,,,Codys Spy Song More Nursery Rhymes Kids Songs CoComelon,2022-07-14T07:00:17Z,10463592,True,53558,0,35:5,Codys Spy Song More Nursery Rhymes Kids Songs CoComelon
Xf4XemBwzDY,,,,,,,,,,,JJs Birthday Surprise Song CoComelon Nursery Rhymes Kids Songs,2022-07-12T07:35:30Z,43150651,True,115727,0,2:56,JJs Birthday Surprise Song CoComelon Nursery Rhymes Kids Songs
dfRBIE3AE34,,,,,,,,,,,Go Before You Go Song More Nursery Rhymes Kids Songs CoComelon,2022-07-09T07:00:14Z,15496591,True,85182,0,34:47,Go Before You Go Song More Nursery Rhymes Kids Songs CoComelon
LA2q3QwhG54,,,,,,,,,,,Belly Button Dance Dance Party CoComelon Nursery Rhymes Kids Songs,2022-07-05T16:00:33Z,31758072,True,105908,0,2:42,Belly Button Dance Dance Party CoComelon Nursery Rhymes Kids Songs
FGcXy0MZ3Ys,,,,,,,,,,,Twinkle Twinkle Little Star More Nursery Rhymes Kids Songs CoComelon,2022-07-01T23:00:11Z,34242590,True,135938,0,49:13,Twinkle Twinkle Little Star More Nursery Rhymes Kids Songs CoComelon
iWwDq7-TCo4,,,,,,,,,,,Go Before You Go Song CoComelon Nursery Rhymes Kids Songs,2022-06-28T07:00:11Z,12117976,True,59663,0,3:8,Go Before You Go Song CoComelon Nursery Rhymes Kids Songs
j7DH5splyoY,,,,,,,,,,,London Bridge More Nursery Rhymes Kids Songs CoComelon,2022-06-25T07:00:13Z,31054786,True,136958,0,59:43,London Bridge More Nursery Rhymes Kids Songs CoComelon
U5Inxa3jK0Y,,,,,,,,,,,Freeze Dance Dance Party CoComelon Nursery Rhymes Kids Songs,2022-06-21T07:00:08Z,36897428,True,97344,0,2:47,Freeze Dance Dance Party CoComelon Nursery Rhymes Kids Songs
Zre4vqUAgHU,,,,,,,,,,,Wheels On The Bus More Nursery Rhymes Kids Songs CoComelon,2022-06-18T07:00:17Z,41304065,True,173420,0,38:52,Wheels On The Bus More Nursery Rhymes Kids Songs CoComelon
hqzvHfy-Ij0,,,,,,,,,,,Twinkle Twinkle Little Star CoComelon Nursery Rhymes Kids Songs,2022-06-14T07:00:10Z,38761703,True,149878,0,3:16,Twinkle Twinkle Little Star CoComelon Nursery Rhymes Kids Songs
LCwxpu1uV60,,,,,,,,,,,Pets For Kids Song More Nursery Rhymes Kids Songs CoComelon,2022-06-11T07:00:06Z,27125634,True,105895,0,1:44,Pets For Kids Song More Nursery Rhymes Kids Songs CoComelon
Lig3cP174Jo,,,,,,,,,,,Following In Dads Footsteps Song CoComelon Nursery Rhymes Kids Songs,2022-06-07T07:00:13Z,14719863,True,65448,0,3:13,Following In Dads Footsteps Song CoComelon Nursery Rhymes Kids Songs
uCNLiwNFvuc,,,,,,,,,,,Head Shoulders Knees and Toes More Nursery Rhymes Kids Songs CoComelon,2022-06-04T07:00:13Z,23138673,True,113880,0,39:58,Head Shoulders Knees and Toes More Nursery Rhymes Kids Songs CoComelon
wwosJXWGWRY,,,,,,,,,,,London Bridge Is Falling Down Song CoComelon Nursery Rhymes Kids Songs,2022-05-31T12:59:00Z,25155551,True,111060,0,2:51,London Bridge Is Falling Down Song CoComelon Nursery Rhymes Kids Songs
TF-RmVyoEbM,,,,,,,,,,,ABC Song Spanish Edition More Nursery Rhymes Kids Songs CoComelon,2022-05-28T07:00:13Z,15139371,True,80272,0,53:40,ABC Song Spanish Edition More Nursery Rhymes Kids Songs CoComelon
FtAZUKtC0Fk,,,,,,,,,,,Wheels On The Bus Song Pretend Play Edition CoComelon Nursery Rhymes Kids Songs,2022-05-24T07:00:03Z,46687914,True,162135,0,3:11,Wheels On The Bus Song Pretend Play Edition CoComelon Nursery Rhymes Kids Songs
8XR9OzAeDqQ,,,,,,,,,,,too big waves for me,2022-10-31T11:00:05Z,750880,False,64462,4664,14:40,too big waves for me
LzCA5zHayyk,,,,,,,,,,,She fell for it,2022-10-24T20:25:38Z,1692432,False,106371,9087,32:21,She fell for it
