id,title,description,customUrl,publishedAt,thumbnails.default.url,defaultLanguage,viewCount,subscriberCount,videoCount,topicIds,topicCategories,relatedPlaylists.uploads,category_title
UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,"The Tonight Show is the longest-running talk show on television and the #1 late-night program on digital. Watch extended celebrity guest interviews, comedy sketches, parodies, games, and, of course, Jimmy’s Monologue, Thank You Notes, and Hashtags! You’ll also find exclusive original content including digital shorts, behind the scenes series, and more.

Taped in front of a live studio audience from Studio 6B at 30 Rockefeller Center in New York City, “The Tonight Show Starring Jimmy Fallon” airs Mondays through Fridays from 11:35 p.m.-12:35 a.m. ET/PT on NBC and is available on demand on Peacock. Stream now: https://bit.ly/2AYGd0x
",@fallontonight,2006-01-08 09:41:20+00:00,https://yt3.ggpht.com/Lp9cu-xgKL0QYxdJ268CaZ63SrmODmZT2uRJjwPHvoeLOvd1LLNJWUd45tYR_VW9z5APPIPJpw=s88-c-k-c0x00ffffff-no-rj,,16489352119,30300000,8168,"['/m/0f2f9', '/m/02jjt', '/m/02vxn']","['https://en.wikipedia.org/wiki/Television_program', 'https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",UU8-Th83bH_thdKZDJCrn88g,top_comedy_channels
UCY30JRSgfhYXA6i6xX1erWg,Smosh,"YouTube’s first comedy collective with over 16 years of jokes. New sketch and improv videos every Monday and Wednesday.
SHUT UP!
",@smosh,2005-11-19 10:25:07+00:00,https://yt3.ggpht.com/ytc/AMLnZu85pRPTFsr_9EQCxii8t-euerdZS6PM16HZGlfeYA=s88-c-k-c0x00ffffff-no-rj,,10215915230,24900000,1406,"['/m/02vxn', '/m/0f2f9', '/m/02jjt']","['https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Television_program', 'https://en.wikipedia.org/wiki/Entertainment']",UUY30JRSgfhYXA6i6xX1erWg,top_comedy_channels
UCPDXXXJj9nax0fr0Wfc048g,CollegeHumor,"Checkout DROPOUT: https://signup.dropout.tv

It's our new ad-free, uncensored, subscription video service!  The cast you love in brand new, exclusive series!

Original and funny videos from CollegeHumor.com, one of the most popular comedy sites on the web. Enjoy CH's award-winning sketches, animations, music videos and web series, delivered right to your (digital) doorstep--like the paper! Or drugs!

For Advertising Inquiries, email ads@chmedia.com",@collegehumor,2006-10-09 14:14:10+00:00,https://yt3.ggpht.com/ytc/AMLnZu8aR362xbJoGFX098WJ7cL33riyTIX6wIaLrLIHEnU=s88-c-k-c0x00ffffff-no-rj,en,7376426348,14600000,3316,"['/m/02jjt', '/m/02vxn', '/m/098wr', '/m/0f2f9']","['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Television_program']",UUPDXXXJj9nax0fr0Wfc048g,top_comedy_channels
UCi9cDo6239RAzPpBZO9y5SA,Lele Pons,PART OF THE SHOTS STUDIOS FAMILY!,@lelepons,2015-09-19 01:11:59+00:00,https://yt3.ggpht.com/ytc/AMLnZu-1G185-hPBfxCOWi03UjzVHIm_qW0s4yqcP4OQhg=s88-c-k-c0x00ffffff-no-rj,,4999570389,17700000,154,"['/m/02jjt', '/m/02vxn', '/m/0f2f9']","['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Television_program']",UUi9cDo6239RAzPpBZO9y5SA,top_comedy_channels
UCV9_KinVpV-snHe3C3n1hvA,shane,"PO BOX:
3727 W. Magnolia Blvd #712
Burbank, CA 91505

*Film & Television Agent:
UTA",@shane,2005-09-22 03:45:47+00:00,https://yt3.ggpht.com/KiKGnLgg_W-PfnmeRGxaQnpj0pZ-hC0J8o1O2iauESDcOkELVJuICuS2mXcLa5fIfh7_EJ0y1Q=s88-c-k-c0x00ffffff-no-rj,,4280678727,19500000,567,"['/m/02vxn', '/m/02jjt', '/m/019_rr']","['https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",UUV9_KinVpV-snHe3C3n1hvA,top_comedy_channels
UCB0d0JLn1WcGYcwwZ87d2LA,Rclbeauty101,"For all business and branding opportunities, please email: Amanda@jhmgmt.com",@rclbeauty101,2010-12-14 20:57:21+00:00,https://yt3.ggpht.com/ytc/AMLnZu90O0R0sCvqGj9m8GVWtm1ng1ogV9Jh0fS3jbeH8g=s88-c-k-c0x00ffffff-no-rj,,3878829743,14400000,461,"['/m/019_rr', '/m/04rlf']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Music']",UUB0d0JLn1WcGYcwwZ87d2LA,top_comedy_channels
UCfm4y4rHF5HGrSr-qbvOwOg,Lilly Singh,"Spent thousands of dollars on tuition, graduated and got a degree. I make YouTube videos now. I am also a happy unicorn that believes in one love. Join me on my adventures!! 

Business Inquiries: iisuperwomanii@gmail.com",@lillysingh,2010-10-29 06:29:13+00:00,https://yt3.ggpht.com/cctGXdb4qAyKe2_bJUQQH4lI1jztXzHzC7kaeQ1xKmT4RJl7jEbAw8a4P8f5tttKkxF0sgQjLA=s88-c-k-c0x00ffffff-no-rj,,3471359510,14600000,869,"['/m/019_rr', '/m/02vxn', '/m/02jjt']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Entertainment']",UUfm4y4rHF5HGrSr-qbvOwOg,top_comedy_channels
UCxSz6JVYmzVhtkraHWZC7HQ,Liza Koshy,Just a little brown girl with big dreams.,@lizakoshy,2013-09-02 22:55:05+00:00,https://yt3.ggpht.com/ytc/AMLnZu_9K6Hgr3vDzQ6-AsXCFQ4wPVJzgO63hbNASewUlw=s88-c-k-c0x00ffffff-no-rj,,2601132326,17300000,189,"['/m/019_rr', '/m/0f2f9', '/m/02jjt', '/m/02vxn']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Television_program', 'https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",UUxSz6JVYmzVhtkraHWZC7HQ,top_comedy_channels
UCPDis9pjXuqyI7RYLJ-TTSA,FailArmy,"Every success begins with a failure. FailArmy is for people who go out and try. They laugh in the face of failure, and don’t take themselves too seriously. Want to join the FailArmy? Send us your videos and you could be featured!
#FailArmy #FailsoftheWeek

Want more FailArmy? Find us on Roku, Xumo, PlutoTV, or connect with us on Instagram, Twitter and Facebook

SUBMIT YOUR VIDEOS http://bit.ly/11-submit-here
SUBSCRIBE http://bit.ly/failarmy
Check out our other channel, FailArmy U! http://bit.ly/SubscribeFU

FACEBOOK http://bit.ly/FailArmyFacebook
INSTAGRAM http://bit.ly/FailArmyInstagram
TWITTER http://bit.ly/FailArmyTwitter

FailArmy is owned and operated by Jukin Media
To license any of the videos shown on FailArmy, visit Jukin Media at http://jukinmedia.com/licensing
For information regarding business, press materials, advertising rates, or sponsorships, please contact: media(at)jukinmedia.com

For inquiries regarding advertising or brand partnerships, email advertise@jukinmedia.com",@failarmy,2011-07-05 10:47:32+00:00,https://yt3.ggpht.com/PLsX6LIg5JbMJR9v7eTD7nQOPmZN16_X7h_uACw5qeWLAewiNfasZFsxQ48Dn8wZ_4McKUPZSA=s88-c-k-c0x00ffffff-no-rj,,2263525696,16200000,362,"['/m/019_rr', '/m/09kqc', '/m/02vxn', '/m/02jjt']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Humour', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Entertainment']",UUPDis9pjXuqyI7RYLJ-TTSA,top_comedy_channels
UC9gFih9rw0zNCK3ZtoKQQyA,JennaMarbles,"For Business Inquiries: http://jennamarblesblog.com/contact-me/

http://www.facebook.com/pages/Jenna-Mourey/311917224927

http://twitter.com/Jenna_Marbles",@jennamarbles,2010-02-16 17:38:20+00:00,https://yt3.ggpht.com/ytc/AMLnZu_ijB-JXY6FXw8DFeMscokalWAwTQjyteCkjdNIbw=s88-c-k-c0x00ffffff-no-rj,,1771031767,19800000,250,"['/m/068hy', '/m/019_rr']","['https://en.wikipedia.org/wiki/Pet', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",UU9gFih9rw0zNCK3ZtoKQQyA,top_comedy_channels
